time_s,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12
78.0000000,0.0099360,0.0094876,0.0097894,0.0099845,0.0093875,0.0102111,0.0097365,0.0092203,0.0092674,0.0102102,0.0099512,0.0102946
79.0000000,0.0098866,0.0093486,0.0100769,0.0102460,0.0093535,0.0100866,0.0100866,0.0095539,0.0092163,0.0099836,0.0099632,0.0101484
80.0000000,0.0099911,0.0094605,0.0101387,0.0100085,0.0092737,0.0100343,0.0100005,0.0093129,0.0093868,0.0100704,0.0100535,0.0100968
81.0000000,0.0099923,0.0093434,0.0099742,0.0100489,0.0090209,0.0102896,0.0100161,0.0093251,0.0092702,0.0100218,0.0100837,0.0100261
82.0000000,0.0100316,0.0095958,0.0099934,0.0101645,0.0089543,0.0099893,0.0101100,0.0093376,0.0089838,0.0100691,0.0098001,0.0097331
83.0000000,0.0098923,0.0093026,0.0101273,0.0100058,0.0090764,0.0100783,0.0099379,0.0092498,0.0090218,0.0101142,0.0098798,0.0099765
84.0000000,0.0100059,0.0093491,0.0099660,0.0100189,0.0091650,0.0098725,0.0100577,0.0089891,0.0088142,0.0102487,0.0098322,0.0097527
85.0000000,0.0098175,0.0093265,0.0100811,0.0099115,0.0091604,0.0100212,0.0099963,0.0093642,0.0092035,0.0098299,0.0097540,0.0097655
86.0000000,0.0101874,0.0091792,0.0099146,0.0100365,0.0087984,0.0099510,0.0098488,0.0091833,0.0089965,0.0101941,0.0097290,0.0100824
87.0000000,0.0102313,0.0092990,0.0099923,0.0098926,0.0092065,0.0101447,0.0099028,0.0092815,0.0087739,0.0101704,0.0100339,0.0100447
88.0000000,0.0098378,0.0094133,0.0102998,0.0101686,0.0091537,0.0099331,0.0102095,0.0093609,0.0087515,0.0102974,0.0098909,0.0100662
89.0000000,0.0100676,0.0094207,0.0101639,0.0098780,0.0093131,0.0098688,0.0099900,0.0093549,0.0087171,0.0100254,0.0101225,0.0097362
90.0000000,0.0099704,0.0090549,0.0102196,0.0100289,0.0087351,0.0099542,0.0098911,0.0090760,0.0086543,0.0100096,0.0101202,0.0102188
91.0000000,0.0100207,0.0090313,0.0099809,0.0100221,0.0087665,0.0101903,0.0100253,0.0090278,0.0088163,0.0097729,0.0101978,0.0100622
92.0000000,0.0100131,0.0090824,0.0100807,0.0099965,0.0087578,0.0103236,0.0098039,0.0093461,0.0088801,0.0098543,0.0100190,0.0098860
93.0000000,0.0101826,0.0090954,0.0097249,0.0100224,0.0089536,0.0097952,0.0100256,0.0090533,0.0085242,0.0098129,0.0098886,0.0099169
94.0000000,0.0100867,0.0088713,0.0098624,0.0097506,0.0086803,0.0099176,0.0099972,0.0090629,0.0085487,0.0098553,0.0100532,0.0101221
95.0000000,0.0098735,0.0087897,0.0099594,0.0097731,0.0089247,0.0100635,0.0098317,0.0089100,0.0087171,0.0099796,0.0099681,0.0100817
96.0000000,0.0100158,0.0090383,0.0098472,0.0101422,0.0085263,0.0099455,0.0101453,0.0090202,0.0087536,0.0101129,0.0102486,0.0101164
97.0000000,0.0100012,0.0089649,0.0098105,0.0099210,0.0085753,0.0102004,0.0101641,0.0090328,0.0087091,0.0101599,0.0099745,0.0098172
98.0000000,0.0098841,0.0089910,0.0099405,0.0097342,0.0086805,0.0100575,0.0099727,0.0090123,0.0084121,0.0100321,0.0098582,0.0098800
99.0000000,0.0100346,0.0090868,0.0101392,0.0101456,0.0084766,0.0094890,0.0098857,0.0087965,0.0084971,0.0095307,0.0099178,0.0101352
100.0000000,0.0100005,0.0086910,0.0100098,0.0099620,0.0086381,0.0099485,0.0099305,0.0090096,0.0085576,0.0101384,0.0100098,0.0099060
101.0000000,0.0102079,0.0089163,0.0098296,0.0100954,0.0083559,0.0100023,0.0101717,0.0091012,0.0086501,0.0099549,0.0101723,0.0100267
102.0000000,0.0099758,0.0090734,0.0099538,0.0101273,0.0085253,0.0103938,0.0098359,0.0088767,0.0086283,0.0099701,0.0100433,0.0098983
103.0000000,0.0100702,0.0087750,0.0097791,0.0098362,0.0086604,0.0100304,0.0102368,0.0086518,0.0085655,0.0101113,0.0101545,0.0099995
104.0000000,0.0096669,0.0087803,0.0098968,0.0102110,0.0085554,0.0101548,0.0100421,0.0090289,0.0084346,0.0099765,0.0100304,0.0098771
105.0000000,0.0097525,0.0089460,0.0097850,0.0098847,0.0081616,0.0101410,0.0097362,0.0089438,0.0084203,0.0098265,0.0100293,0.0100496
106.0000000,0.0100533,0.0087021,0.0102053,0.0101711,0.0086328,0.0097575,0.0102877,0.0088130,0.0087039,0.0103995,0.0095474,0.0097230
107.0000000,0.0100236,0.0085607,0.0097494,0.0099865,0.0084251,0.0102966,0.0099681,0.0087793,0.0083931,0.0101380,0.0101030,0.0101562
108.0000000,0.0101406,0.0089317,0.0098567,0.0100387,0.0083442,0.0100693,0.0100362,0.0087934,0.0082778,0.0098869,0.0101610,0.0095437
109.0000000,0.0098315,0.0083836,0.0100068,0.0100358,0.0081936,0.0099468,0.0098362,0.0086692,0.0086830,0.0100980,0.0098891,0.0099337
110.0000000,0.0099616,0.0088932,0.0098592,0.0100499,0.0081936,0.0097683,0.0101051,0.0087967,0.0082078,0.0099968,0.0098566,0.0099894
111.0000000,0.0096305,0.0087614,0.0103095,0.0099593,0.0080397,0.0101905,0.0100248,0.0085001,0.0082300,0.0100051,0.0103325,0.0101786
112.0000000,0.0098789,0.0084897,0.0100463,0.0099394,0.0083902,0.0100780,0.0102719,0.0086927,0.0079942,0.0099342,0.0097486,0.0099926
113.0000000,0.0099395,0.0085278,0.0099401,0.0099656,0.0082248,0.0098827,0.0098606,0.0087878,0.0081688,0.0099759,0.0103261,0.0100675
114.0000000,0.0099900,0.0082788,0.0100263,0.0100440,0.0083677,0.0099834,0.0100336,0.0085351,0.0081188,0.0098404,0.0099738,0.0099990
115.0000000,0.0099213,0.0085710,0.0100016,0.0100918,0.0083418,0.0098326,0.0099542,0.0086804,0.0079032,0.0099270,0.0102516,0.0098608
116.0000000,0.0101477,0.0086898,0.0101125,0.0100587,0.0081440,0.0098997,0.0099753,0.0085199,0.0081087,0.0097368,0.0097185,0.0099737
117.0000000,0.0097874,0.0084970,0.0097653,0.0100080,0.0080838,0.0099425,0.0097156,0.0085640,0.0079246,0.0101090,0.0101356,0.0096867
118.0000000,0.0098122,0.0082472,0.0101012,0.0098650,0.0078034,0.0099928,0.0101628,0.0086924,0.0083697,0.0102148,0.0100148,0.0099288
119.0000000,0.0100738,0.0084773,0.0099212,0.0101582,0.0081561,0.0099855,0.0103033,0.0086540,0.0081087,0.0097875,0.0099179,0.0096598
120.0000000,0.0099479,0.0085492,0.0100190,0.0096199,0.0079784,0.0101553,0.0099626,0.0085881,0.0080033,0.0100352,0.0102203,0.0100437
121.0000000,0.0102053,0.0084656,0.0100324,0.0100975,0.0080218,0.0098604,0.0101103,0.0085796,0.0080519,0.0097041,0.0101390,0.0099463
122.0000000,0.0101082,0.0083089,0.0101610,0.0100241,0.0077767,0.0102135,0.0101506,0.0084980,0.0076650,0.0098809,0.0099809,0.0099639
123.0000000,0.0100548,0.0081391,0.0099843,0.0099626,0.0079074,0.0102194,0.0097498,0.0086183,0.0079132,0.0099224,0.0099950,0.0100677
124.0000000,0.0097478,0.0085139,0.0101426,0.0100753,0.0077334,0.0098626,0.0101150,0.0084364,0.0081029,0.0099258,0.0099543,0.0100922
125.0000000,0.0099123,0.0083797,0.0098021,0.0099475,0.0079850,0.0102232,0.0101499,0.0083210,0.0077887,0.0099562,0.0100651,0.0100368
126.0000000,0.0100452,0.0082580,0.0100760,0.0098628,0.0078701,0.0101719,0.0099965,0.0085012,0.0079339,0.0101321,0.0099931,0.0099673
127.0000000,0.0099084,0.0084574,0.0099741,0.0100502,0.0080133,0.0097791,0.0098963,0.0081071,0.0077233,0.0101398,0.0100183,0.0100300
128.0000000,0.0100474,0.0084409,0.0098654,0.0099872,0.0078312,0.0100678,0.0100707,0.0082364,0.0075315,0.0101318,0.0101273,0.0096780
129.0000000,0.0100500,0.0081172,0.0099153,0.0101355,0.0077768,0.0100338,0.0100816,0.0083750,0.0079803,0.0102348,0.0099478,0.0101585
130.0000000,0.0098804,0.0083936,0.0099754,0.0098394,0.0078098,0.0099117,0.0098864,0.0081593,0.0077695,0.0100101,0.0098423,0.0100796
131.0000000,0.0098381,0.0085609,0.0098183,0.0099703,0.0077386,0.0101220,0.0099433,0.0080520,0.0077589,0.0099266,0.0100737,0.0099745
132.0000000,0.0101503,0.0084700,0.0097584,0.0099687,0.0074963,0.0101660,0.0098821,0.0084009,0.0077429,0.0099884,0.0100271,0.0100579
133.0000000,0.0100125,0.0082077,0.0097653,0.0097402,0.0078433,0.0099725,0.0098267,0.0081337,0.0077068,0.0099569,0.0098282,0.0098855
134.0000000,0.0100135,0.0080233,0.0100682,0.0099073,0.0076662,0.0101967,0.0099489,0.0079727,0.0074449,0.0099894,0.0100607,0.0098964
135.0000000,0.0101495,0.0081650,0.0101428,0.0104386,0.0077153,0.0101722,0.0098627,0.0082939,0.0074717,0.0102165,0.0101676,0.0099490
136.0000000,0.0102654,0.0085070,0.0098995,0.0099844,0.0073289,0.0101059,0.0099352,0.0081441,0.0076430,0.0098828,0.0101900,0.0098373
137.0000000,0.0095840,0.0084061,0.0101858,0.0099901,0.0075866,0.0103100,0.0099265,0.0081213,0.0076104,0.0100562,0.0100064,0.0099628
138.0000000,0.0102236,0.0078790,0.0099527,0.0095966,0.0075466,0.0101916,0.0099011,0.0078902,0.0075245,0.0100152,0.0100445,0.0098799
139.0000000,0.0101552,0.0084744,0.0098564,0.0102218,0.0074454,0.0100042,0.0102066,0.0081895,0.0076603,0.0098542,0.0100198,0.0096871
140.0000000,0.0099612,0.0080136,0.0098003,0.0099131,0.0074905,0.0100019,0.0098206,0.0081100,0.0077023,0.0099898,0.0096807,0.0099290
141.0000000,0.0101825,0.0081598,0.0099037,0.0101073,0.0075683,0.0099380,0.0100125,0.0080322,0.0076466,0.0099109,0.0100079,0.0101812
142.0000000,0.0099931,0.0079895,0.0098128,0.0100019,0.0074105,0.0099207,0.0098675,0.0079822,0.0075541,0.0099758,0.0098692,0.0102093
143.0000000,0.0102452,0.0079928,0.0101042,0.0099149,0.0072683,0.0101793,0.0098389,0.0082892,0.0073637,0.0104982,0.0099270,0.0101054
144.0000000,0.0101766,0.0080920,0.0101329,0.0102306,0.0075222,0.0099984,0.0100262,0.0078565,0.0074414,0.0097106,0.0099961,0.0100836
145.0000000,0.0100676,0.0080529,0.0100806,0.0099693,0.0075181,0.0098941,0.0097167,0.0080887,0.0073196,0.0100371,0.0100141,0.0099747
146.0000000,0.0099124,0.0078291,0.0100310,0.0099103,0.0074258,0.0099360,0.0098132,0.0080385,0.0074761,0.0100755,0.0098800,0.0100760
147.0000000,0.0100189,0.0080039,0.0101250,0.0100146,0.0072380,0.0098154,0.0100636,0.0078935,0.0072388,0.0099460,0.0098550,0.0098779
148.0000000,0.0098745,0.0078818,0.0098658,0.0100573,0.0073140,0.0100085,0.0099381,0.0078309,0.0071156,0.0100916,0.0101618,0.0100217
149.0000000,0.0099006,0.0079305,0.0095266,0.0100358,0.0074451,0.0101132,0.0100751,0.0078842,0.0072598,0.0102287,0.0100922,0.0100447
150.0000000,0.0100329,0.0079282,0.0101156,0.0100400,0.0075179,0.0101265,0.0100249,0.0078362,0.0075227,0.0101053,0.0100251,0.0099842
151.0000000,0.0099868,0.0077759,0.0101693,0.0102983,0.0075183,0.0102248,0.0098110,0.0078010,0.0071592,0.0099188,0.0098700,0.0099305
152.0000000,0.0099059,0.0078926,0.0099377,0.0098009,0.0075727,0.0099785,0.0097734,0.0078965,0.0070633,0.0100895,0.0100131,0.0096422
153.0000000,0.0102534,0.0080859,0.0100521,0.0100992,0.0069770,0.0099241,0.0100459,0.0078193,0.0070628,0.0101139,0.0099412,0.0100362
154.0000000,0.0099231,0.0079643,0.0099210,0.0100264,0.0073837,0.0098135,0.0101781,0.0080639,0.0073418,0.0099460,0.0098115,0.0097871
155.0000000,0.0100018,0.0077668,0.0097288,0.0098066,0.0073259,0.0103351,0.0100594,0.0078913,0.0070072,0.0100525,0.0100896,0.0099247
156.0000000,0.0100058,0.0078490,0.0101207,0.0101062,0.0072516,0.0098105,0.0101238,0.0081361,0.0073987,0.0100919,0.0099748,0.0100716
157.0000000,0.0096776,0.0078303,0.0097581,0.0099412,0.0071620,0.0096988,0.0100788,0.0077426,0.0073042,0.0100122,0.0097704,0.0103091
158.0000000,0.0103987,0.0078074,0.0102564,0.0101559,0.0073312,0.0100473,0.0097162,0.0078245,0.0074089,0.0098057,0.0101775,0.0101009
159.0000000,0.0099199,0.0076334,0.0100007,0.0099021,0.0070427,0.0100425,0.0101707,0.0080323,0.0074158,0.0100742,0.0099278,0.0098150
160.0000000,0.0101171,0.0077693,0.0098458,0.0102491,0.0069898,0.0098146,0.0098488,0.0078632,0.0072617,0.0102448,0.0100343,0.0102563
161.0000000,0.0096838,0.0078393,0.0099258,0.0099024,0.0069987,0.0101202,0.0100831,0.0079927,0.0071871,0.0103380,0.0099611,0.0102116
162.0000000,0.0099812,0.0076300,0.0100257,0.0097923,0.0070250,0.0100704,0.0097571,0.0076115,0.0069044,0.0099309,0.0098107,0.0098641
163.0000000,0.0097606,0.0074429,0.0100880,0.0100791,0.0068261,0.0099231,0.0099151,0.0077063,0.0070479,0.0100143,0.0099020,0.0101190
164.0000000,0.0099303,0.0078969,0.0099208,0.0098310,0.0071503,0.0102029,0.0100259,0.0075573,0.0067919,0.0100833,0.0098722,0.0100391
165.0000000,0.0101963,0.0078001,0.0100099,0.0099316,0.0066729,0.0100699,0.0102366,0.0076917,0.0068793,0.0098956,0.0098037,0.0101138
166.0000000,0.0101237,0.0078952,0.0099518,0.0098754,0.0070971,0.0100447,0.0099725,0.0076385,0.0070911,0.0098390,0.0102913,0.0101662
167.0000000,0.0100996,0.0080008,0.0099501,0.0101601,0.0070011,0.0100940,0.0099277,0.0075256,0.0070403,0.0102126,0.0098955,0.0100743
168.0000000,0.0100817,0.0079522,0.0098983,0.0099526,0.0069039,0.0097435,0.0098890,0.0078125,0.0071391,0.0098506,0.0102478,0.0097927
169.0000000,0.0097434,0.0076903,0.0100501,0.0100994,0.0067888,0.0099923,0.0101553,0.0074283,0.0071590,0.0101822,0.0099148,0.0100756
170.0000000,0.0098358,0.0077721,0.0100575,0.0099713,0.0069524,0.0099557,0.0099422,0.0078529,0.0067854,0.0097448,0.0100585,0.0098504
171.0000000,0.0100887,0.0076221,0.0101958,0.0101079,0.0071299,0.0100562,0.0101428,0.0075455,0.0068899,0.0100970,0.0101659,0.0098323
172.0000000,0.0102107,0.0076763,0.0101453,0.0099724,0.0069088,0.0099189,0.0098262,0.0075957,0.0069299,0.0095923,0.0099816,0.0100962
173.0000000,0.0100750,0.0076838,0.0099271,0.0099946,0.0068132,0.0100785,0.0101989,0.0078753,0.0068681,0.0098632,0.0102093,0.0099883
174.0000000,0.0100922,0.0077161,0.0096940,0.0098683,0.0069606,0.0103519,0.0099744,0.0073781,0.0067465,0.0099284,0.0100303,0.0098864
175.0000000,0.0100887,0.0075554,0.0098221,0.0100374,0.0069727,0.0100804,0.0102888,0.0075104,0.0070092,0.0098748,0.0101881,0.0099373
176.0000000,0.0101117,0.0076809,0.0098400,0.0098254,0.0068203,0.0100326,0.0099842,0.0074583,0.0071321,0.0098626,0.0098813,0.0099435
